community_num	old_oai_id
322046	oai:oaicat.oclc.org:SS7729440_7729440_617765_CORNELL
3385953	oai:oaicat.oclc.org:SS7729429_7729429_9239959_CORNELL
9221652	oai:oaicat.oclc.org:SS7729463_7729463_8870785_CORNELL
2661504	oai:oaicat.oclc.org:SS7729955_7729955_8319035_TRINITY
202103	oai:oaicat.oclc.org:SS7729419_7729419_573594_CORNELL
2673911	oai:oaicat.oclc.org:SS7729463_7729463_8389916_CORNELL
3213729	oai:oaicat.oclc.org:SS7729975_7729975_8423596_TRINITY
2676960	oai:oaicat.oclc.org:SS7729463_7729463_8391482_CORNELL
201977	oai:oaicat.oclc.org:SS7729419_7729419_573394_CORNELL
9221371	oai:oaicat.oclc.org:SS7729463_7729463_8871041_CORNELL
414772	oai:oaicat.oclc.org:SS7729421_7729421_655717_DELW
9222167	oai:oaicat.oclc.org:SS7729463_7729463_8862053_CORNELL
9274238	oai:oaicat.oclc.org:SS7732183_7732183_12691088_JEFF
609168	oai:oaicat.oclc.org:SS7730455_7730455_8802596_BRYN
200703	oai:oaicat.oclc.org:SS7729419_7729419_578294_CORNELL
202293	oai:oaicat.oclc.org:SS7729419_7729419_573900_CORNELL
9218803	oai:oaicat.oclc.org:SS7729463_7729463_8862036_CORNELL
325702	oai:oaicat.oclc.org:SS7729421_7729421_639765_DELW
1320613	oai:oaicat.oclc.org:SS7729499_7729499_8274913_CORNELL
1318625	oai:oaicat.oclc.org:SS7729499_7729499_4943152_CORNELL
1320126	oai:oaicat.oclc.org:SS7729499_7729499_5730141_CORNELL
1320795	oai:oaicat.oclc.org:SS7729499_7729499_5730426_CORNELL
9902525	oai:oaicat.oclc.org:SS7729975_7729975_8980479_TRINITY
306754	oai:oaicat.oclc.org:SS7729421_7729421_647841_DELW
13866424	oai:oaicat.oclc.org:SS7730795_7730795_10561693_GETTY
456276	oai:oaicat.oclc.org:SS7729443_7729443_691271_CORNELL
203231	oai:oaicat.oclc.org:SS7729419_7729419_576730_CORNELL
3721104	oai:oaicat.oclc.org:SS7729975_7729975_8484843_TRINITY
1313666	oai:oaicat.oclc.org:SS7729499_7729499_4942878_CORNELL
2673161	oai:oaicat.oclc.org:SS7729463_7729463_8382991_CORNELL
2962500	oai:oaicat.oclc.org:SS7730017_7730017_8437096_RHODE
2860792	oai:oaicat.oclc.org:SS7729596_7729596_9155715_CORNELL
9013670	oai:oaicat.oclc.org:SS7729975_7729975_8614780_TRINITY
203385	oai:oaicat.oclc.org:SS7729419_7729419_575218_CORNELL
297615	oai:oaicat.oclc.org:SS7729421_7729421_645435_DELW
1406263	oai:oaicat.oclc.org:SS7729596_7729596_3048945_CORNELL
8204602	oai:oaicat.oclc.org:SS7729975_7729975_8560292_TRINITY
2678896	oai:oaicat.oclc.org:SS7729463_7729463_8388844_CORNELL
1312502	oai:oaicat.oclc.org:SS7729995_7729995_8372710_CORNELL
1486958	oai:oaicat.oclc.org:SS7729596_7729596_6995925_CORNELL
202611	oai:oaicat.oclc.org:SS7729419_7729419_574402_CORNELL
8192924	oai:oaicat.oclc.org:SS7729975_7729975_8559025_TRINITY
2672057	oai:oaicat.oclc.org:SS7729463_7729463_8388925_CORNELL
2674225	oai:oaicat.oclc.org:SS7729463_7729463_8381222_CORNELL
2673828	oai:oaicat.oclc.org:SS7729463_7729463_8380982_CORNELL
1313482	oai:oaicat.oclc.org:SS7729499_7729499_6260242_CORNELL
11177582	oai:oaicat.oclc.org:SS7729995_7729995_9826435_CORNELL
235041	oai:oaicat.oclc.org:SS7729473_7729473_3110142_CORNELL
502989	oai:oaicat.oclc.org:SS7729539_7729539_1666740_CORNELL
3395900	oai:oaicat.oclc.org:SS7729975_7729975_8462840_TRINITY
13087419	oai:oaicat.oclc.org:SS7730635_7730635_10795813_LAWRENCE
2678144	oai:oaicat.oclc.org:SS7729463_7729463_8388251_CORNELL
9116733	oai:oaicat.oclc.org:SS7730437_7730437_8636710_BRYN
1320775	oai:oaicat.oclc.org:SS7729499_7729499_5999857_CORNELL
2678983	oai:oaicat.oclc.org:SS7729463_7729463_8386224_CORNELL
1315009	oai:oaicat.oclc.org:SS7729499_7729499_5999972_CORNELL
3708915	oai:oaicat.oclc.org:SS7729975_7729975_8480719_TRINITY
265873	oai:oaicat.oclc.org:SS7729441_7729441_589042_CORNELL
215474	oai:oaicat.oclc.org:SS7729473_7729473_2171237_CORNELL
2678902	oai:oaicat.oclc.org:SS7729463_7729463_8386160_CORNELL
215395	oai:oaicat.oclc.org:SS7729473_7729473_2173243_CORNELL
1316026	oai:oaicat.oclc.org:SS7729499_7729499_5114843_CORNELL
1322228	oai:oaicat.oclc.org:SS7729499_7729499_7341015_CORNELL
323546	oai:oaicat.oclc.org:SS7729440_7729440_614591_CORNELL
14905361	oai:oaicat.oclc.org:SS7731126_7731126_10772756_RHODEIC
570586	oai:oaicat.oclc.org:SS7729737_7729737_7879375_BRYN
